title,keyword,abstract,field,authors,date,doi,references
"Wireless Communications in Dynamic Interference : modeling, capacity and applications,Communications sans fil dans des interférences dynamiques : modélisation, capacité et applications","Noise and interference,Wireless communications,Bruit impulsif,Interférences dynamiques,Bornes",,,Mauro Lopes de Freitas,2022,,
Unambiguous real-time terahertz frequency metrology using dual 10 GHz femtosecond frequency combs,,,"Atomic and Molecular Physics, and Optics,Electronic, Optical and Magnetic Materials","Oliver Kliebisch,Dirk Heinecke,S Barbieri,Giorgio Santarelli,Hua Li,Carlo Sirtori,Thomas Dekorsy",2022,10.1364/OPTICA.5.001431,"10.1364/JOSAB.28.002549, 10.1364/OE.20.025654, 10.1038/nphoton.2012.145, 10.1038/nphoton.2011.49, 10.1007/s10762-013-9981-7, 10.1063/1.1784874, 10.1364/OE.18.020799, 10.1364/OL.33.001905, 10.1364/OE.24.029930, 10.1364/OE.17.022847, 10.1109/JSTQE.2003.819102, 10.1038/nphoton.2010.125, 10.1016/S0022-4073(98)00091-0, 10.1364/OE.23.011367, "
"Conception et pilotage d'un système de production Humain-cyber-physique : apport de la méthode CWA,Design and operation of a Human-Cyber-Physical production system : benefits from the CWA method","Industrie 40,Cyber-Physical system,Human-Machine Cooperation,Cognitive Work Analysis,Digital Twin,Industrie 40,Industrie du future,Système Cyber-Physique,Coopération Homme-Machine,Cognitive Work Analysis,Jumeaux numériques",,,Quentin Berdal,2022,,
A Comparative Study of the Whitening Methods in Linear Video Coding and Transmission Schemes,"Wireless Video Transmission,Linear Video Coding and Transmission LVCT,SoftCast,Hadamard,Packet loss",,,"Hind Kanj,Anthony Trioux,François-Xavier Coudoux,M Gharbi,Patrick Corlay,Michel Kieffer",2022,10.1109/ISIVC54825.2022.9800738,"10.1109/ISWCS.2017.8108119, 10.1109/TCSVT.2013.2273675, 10.1109/ICNIDC.2016.7974567, 10.1109/GLOCOM.2016.7842128, 10.1007/s11036-020-01592-6, 10.1109/TMM.2017.2686703, 10.1109/TMM.2014.2331616, 10.1109/INFOCOM.2015.7218363, 10.1155/2014/606493, 10.1109/VCIP49819.2020.9301778, 10.1201/9781003118688, 10.1007/978-1-4614-6642-0_11, 10.1109/TBC.2008.915770, 10.1016/j.image.2019.115734, 10.3390/s21186208, 10.1145/2030613.2030646, 10.1016/j.image.2019.06.011, 10.1016/j.image.2021.116369, 10.1109/TIP.2003.819861, 10.1109/ISIVC.2018.8709171, 10.1109/TMM.2005.843347, "
Stationary states of boundary driven exclusion processes with nonreversible boundary dynamics,,,"Mathematical Physics,Statistical and Nonlinear Physics","Clément Erignoux,Claudio Landim,T. Xu",2022,10.1007/s10955-018-2021-1,"10.1023/A:1014525911391, 10.1103/RevModPhys.87.593, 10.1088/1742-5468/2007/07/P07023, 10.1023/A:1014555927320, 10.1007/s10955-018-2102-1, 10.1007/BF02278011, 10.1007/s002200050300, 10.1007/978-1-4612-0771-9, 10.1103/PhysRev.37.405, 10.1103/PhysRev.91.1505, 10.1007/s10955-009-9823-0, "
Do Shape Memory Alloy cables restrain the vibrations of girder bridges? -A mathematical point of view,"Euler-Bernoulli beam,Pointwise stabilization,Resolvent operator,Eigenvalues and their localization,Eigenfunctions,Riesz basis,Exponential stability,Rate of decay",,,Virginie Régnier,2022,10.48550/arXiv.2112.01400,
Le CESE peut devenir une chambre du futur,,,,Matthieu Caron,2022,,
Déshabiter en poète ; pour une écologie de l'esthétique,,,,Corentin Delcambre,2022,,
Arte povera: l'entropie comme geste politique,"Arte povera,Chute,Désœuvrement,Dialectique,Politique,Éphémère",,,Corentin Delcambre,2022,,
Qu’est-ce qu’être Grec ?,,,,Claire Barat,2022,,
