title,keyword,abstract,field,authors,date,doi,references,id,type
"Wireless Communications in Dynamic Interference : modeling, capacity and applications,Communications sans fil dans des interférences dynamiques : modélisation, capacité et applications","Noise and interference,Wireless communications,Bruit impulsif,Interférences dynamiques,Bornes","This thesis focuses on the study of noise and interference exhibiting an impulsive behavior, an attribute that can be found in many contexts such as wireless communications. This interference is characterized by the presence of high amplitudes during short durations. In fact, these undesirable features lead to heavier tails in the distributions and can be modeled by the α-stable distribution. In particular, we study the impulsive behavior that occurs in large-scale communication networks that forms the basis for our model of dynamic interference. More precisely, such interference can be encountered in heterogeneous networks with short packets to be transmitted, as in the Internet of Things, when the set of active interferers varies rapidly. The first part of this work is to study the capacity of α-stable additive noise channels, which is not well understood at present, except in the case of Cauchy noise (α = 1) with a logarithmic constraint and Gaussian noise (α = 2) with a power constraint. We derive lower and upper bounds for the capacity with an absolute moment (amplitude) constraint. We consider additive symmetric α-stable noise channels with α ∈ ]1, 2]. We then use an algorithm inspired by the Blahut-Arimoto algorithm in order to compare our bounds with a numerical approximation, which provides insight into the effect of noise parameters on the bounds. In particular, we find that our lower bound is in good agreement with the numerical approximation for α close to 2. We then extend the work to the capacity of the additive complex isotropic α-stable noise channel and we also analyze the impact of our bounds in practical contexts.",,Mauro Lopes de Freitas,2022,,,3621930,THESE
Unambiguous real-time terahertz frequency metrology using dual 10 GHz femtosecond frequency combs,,"Terahertz frequency metrology by radio frequency downconversion using femtosecond optical sampling relies on the harmonic factor retrieval between the terahertz frequency and the optical sampling rate. At typical femtosecond laser repetition rates, this imposes an ambiguity for frequency metrology. We report on a dual-comb sampling system for the unambiguous frequency measurement of terahertz quantum cascade lasers with hertz-level precision. Two Ti:sapphire oscillators with 10 GHz repetition rate are used for the electro-optic sampling of terahertz radiation at 2.5 THz emitted by actively mode-locked terahertz quantum cascade lasers with 9.7 GHz and 19.6 GHz repetition rates. By coherent downconversion, the emitted terahertz waveforms are measured in the radio frequency domain. The terahertz frequency comb is stabilized by employing a phase-locked loop on a radio frequency beat-note signal. A second infrared sampling comb is used to measure the absolute frequencies of the terahertz radiation. This method, which is based on the detuning of the sampling repetition rates, allows the direct retrieval of the quantum cascade laser’s absolute frequency in real time without using additional optical frequency references for calibration. In order to demonstrate the feasibility of the stabilization and readout technique, a high-resolution spectroscopy measurement on gaseous methanol is presented.","Atomic and Molecular Physics, and Optics,Electronic, Optical and Magnetic Materials","Oliver Kliebisch,Dirk Heinecke,S Barbieri,Giorgio Santarelli,Hua Li,Carlo Sirtori,Thomas Dekorsy",2022,10.1364/OPTICA.5.001431,"10.1364/JOSAB.28.002549, 10.1364/OE.20.025654, 10.1038/nphoton.2012.145, 10.1038/nphoton.2011.49, 10.1007/s10762-013-9981-7, 10.1063/1.1784874, 10.1364/OE.18.020799, 10.1364/OL.33.001905, 10.1364/OE.24.029930, 10.1364/OE.17.022847, 10.1109/JSTQE.2003.819102, 10.1038/nphoton.2010.125, 10.1016/S0022-4073(98)00091-0, 10.1364/OE.23.011367, ",3719482,ART
"Conception et pilotage d'un système de production Humain-cyber-physique : apport de la méthode CWA,Design and operation of a Human-Cyber-Physical production system : benefits from the CWA method","Industrie 40,Cyber-Physical system,Human-Machine Cooperation,Cognitive Work Analysis,Digital Twin,Industrie 40,Industrie du future,Système Cyber-Physique,Coopération Homme-Machine,Cognitive Work Analysis,Jumeaux numériques","Les systèmes industriels évoluent régulièrement depuis plus d’un siècle, avec à la clef trois grandes révolutions. Alors que la quatrième révolution se profile et gagne en intérêt auprès de la communauté scientifique, certains défauts persistent. Chaque nouvelle révolution tend à repousser l’humain plus loin du système qu’il ne l’était auparavant, au point de négliger les contraintes inhérentes à une activité humaine. Dans un contexte où l’être humain est, de manière paradoxale, de plus en plus indispensable au bon fonctionnement du système industriel et à la gestion de l’imprévu, force est de constater qu’il doit faire face à une complexité croissante des processus à piloter sans être suffisamment aidé dans sa tâche. Nos travaux s’intègrent dans ce contexte et promeuvent la conception d’un système offrant à l’opérateur les moyens de s’intégrer et de piloter les processus industriels grâce à une approche favorisant la coopération entre humains et systèmes artificiels. Dans cette thèse nous justifions l’usage et exploitons une méthode de conception intégrée, le Cognitive Work Analysis. Cette méthode permet de considérer non seulement l’aspect technique du système industriel à piloter, mais également l’aspect humain grâce à une approche qui tient compte de ses spécificités. Ces travaux sont développés dans le contexte de l’industrie du futur. Une analyse est tout d’abord menée puis une approche de conception est proposée. Cette dernière se base sur un mécanisme fondamental, celui d’une coopération adaptée entre un humain superviseur et un système industriel composé d’entités autonomes. Pour valider nos propositions, une plateforme originale a été conçue et développée. Des protocoles expérimentaux ont été définis et des expérimentations menées. Ces dernières montrent que, sous certaines conditions, la coopération permet d’améliorer la performance industrielle dans un contexte où sans coopération il serait difficile pour l’humain d’appréhender la complexité du système industriel.",,Quentin Berdal,2022,,,3851331,THESE
A Comparative Study of the Whitening Methods in Linear Video Coding and Transmission Schemes,"Wireless Video Transmission,Linear Video Coding and Transmission LVCT,SoftCast,Hadamard,Packet loss","Linear Video Coding and Transmission (LVCT) schemes, pioneered by the SoftCast architecture, have been recently proposed as an alternative solution for wireless broadcast applications where users may experience severe channel quality fluctuations. LVCT schemes offer a graceful video quality adaptation to the user experienced channel quality. This is made possible by relying on linear operators only (decorrelation transform, power allocation, whitening). The LVCT whitening process aims at reducing the impact of slice loss in presence of fades. It is mainly performed by Hadamard transform which is not adapted to all input sizes. Although alternatives to the Hadamard transform have been proposed in the literature, no performance comparison has been performed. In this paper, we compare the performance of SoftCast using three different whitening matrices, namely, Hadamard, Inverse Discrete Cosine Transform (IDCT) and Random matrices. Three scenarios are considered for the comparison: no packet loss, random packet losses and bursty packet losses. Simulation results confirm that these matrices offer similar reconstructed video quality in a lossless scenario, while whitening using a random orthogonal matrix outperforms whitening using Hadamard or IDCT matrices in all lossy scenarios.",,"Hind Kanj,Anthony Trioux,François-Xavier Coudoux,M Gharbi,Patrick Corlay,Michel Kieffer",2022,10.1109/ISIVC54825.2022.9800738,"10.1109/ISWCS.2017.8108119, 10.1109/TCSVT.2013.2273675, 10.1109/ICNIDC.2016.7974567, 10.1109/GLOCOM.2016.7842128, 10.1007/s11036-020-01592-6, 10.1109/TMM.2017.2686703, 10.1109/TMM.2014.2331616, 10.1109/INFOCOM.2015.7218363, 10.1155/2014/606493, 10.1109/VCIP49819.2020.9301778, 10.1201/9781003118688, 10.1007/978-1-4614-6642-0_11, 10.1109/TBC.2008.915770, 10.1016/j.image.2019.115734, 10.3390/s21186208, 10.1145/2030613.2030646, 10.1016/j.image.2019.06.011, 10.1016/j.image.2021.116369, 10.1109/TIP.2003.819861, 10.1109/ISIVC.2018.8709171, 10.1109/TMM.2005.843347, ",3707050,COMM
Stationary states of boundary driven exclusion processes with nonreversible boundary dynamics,,"We prove a law of large numbers for the empirical density of one-dimensional, boundary driven, symmetric exclusion processes with different types of non-reversible dynamics at the boundary. The proofs rely on duality techniques.","Mathematical Physics,Statistical and Nonlinear Physics","Clément Erignoux,Claudio Landim,T. Xu",2022,10.1007/s10955-018-2021-1,"10.1023/A:1014525911391, 10.1103/RevModPhys.87.593, 10.1088/1742-5468/2007/07/P07023, 10.1023/A:1014555927320, 10.1007/s10955-018-2102-1, 10.1007/BF02278011, 10.1007/s002200050300, 10.1007/978-1-4612-0771-9, 10.1103/PhysRev.37.405, 10.1103/PhysRev.91.1505, 10.1007/s10955-009-9823-0, ",3762907,ART
Do Shape Memory Alloy cables restrain the vibrations of girder bridges? -A mathematical point of view,"Euler-Bernoulli beam,Pointwise stabilization,Resolvent operator,Eigenvalues and their localization,Eigenfunctions,Riesz basis,Exponential stability,Rate of decay",,,Virginie Régnier,2022,10.48550/arXiv.2112.01400,,,
Le CESE peut devenir une chambre du futur,,,,Matthieu Caron,2022,,,3704214,ART
Déshabiter en poète ; pour une écologie de l'esthétique,,,,Corentin Delcambre,2022,,,3834034,COMM
Arte povera: l'entropie comme geste politique,"Arte povera,Chute,Désœuvrement,Dialectique,Politique,Éphémère","Cet article vise à étudier comment l’entropie devient non plus un simple état de la matière, un processus logique qui exigerait un « ordre des choses » mais bien un geste critique conforme à la « guerilla » que promeut l’arte povera — courant italien qui émerge au début des années 60 en Italie. Notre étude souhaite démontrer depuis l’analyse des travaux de l’arte povera que la dégradation lente des objets, leur devenir-disparition implique de nouveaux modes d’intervention esthétiques et critiques qui s’émancipent des habitudes liées à l’objet d’art pour finalement s’ouvrir à de nouvelles perspectives politiques liées à la consumation de l’iconicité.",,Corentin Delcambre,2022,,,3818314,ART
Qu’est-ce qu’être Grec ?,,,,Claire Barat,2022,,,3664437,COUV
