title,keyword,abstract,field,authors,date,doi,references,id,type
Efficient and flexible lineage construction for probabilistic databases,,"In contrast to traditional data applications, many real-world scenarios nowadays depend on managing and querying huge volumes of uncertain and incomplete data. This new type of applications emerge, for example, when we integrate data from various sources, analyse social/biological/chemical networks or conduct privacy-preserving data mining. A very promising concept addressing this new kind of probabilistic data applications has been proposed in the form of probabilistic databases. Here, a tuple only belongs to its table or query answer with a specific likelihood. That probability expresses the uncertainty about the given data or the confidence in the answer. The most challenging task for probabilistic databases is query evaluation. In fact, there are even simple relational queries for which determining the occurrence probability of a single answer tuple is hard for #P. Lineage formulas constitute the central concept under investigation in this work. In short, the mechanism behind lineage formulas facilitates the representation and evaluation of events of the probability space, which is defined by a probabilistic database. On the basis of lineage formulas, we devise a framework that is designed as a combination of a relational database layer and an additional probabilistic query engine. In particular, the following three aspects are studied: (i) an efficient construction of lineage formulas, (ii) an orthogonal combination of lineage optimization techniques, which are performed within the relational database layer and the probabilistic query engine, and (iii) effective and compact data structures to represent lineage formulas within a probabilistic query engine. The developed framework provides a novel lineage construction method that is able to construct nested lineage formulas, to avoid large tuple sets within the relational database layer tuples, and to provide full relational algebra support. In addition, the proposed system completely resolves the conflict between the contradicting query plans optimized for the relational database layer and the probabilistic query engine.",,"Lehrack, Sebastian",2016,,,OPUS4-4046,Dissertation
Optimization problem of portfolios with an illiquid asset,,"This work is devoted to the problem of liquidity that draws a lot of attention after the global financial crisis. We consider an optimization problem for a portfolio with an illiquid, a risky and a riskless liquid asset. We work in Merton's optimal consumption framework with continuous time. The liquid part of the investment is described by a standard Black-Scholes market. The illiquid asset is sold at an exogenous random moment with prescribed distribution and generates additional liquid wealth dependent on its paper value. We show that one can consider a problem with infinite time horizon and special weight function that is characterized by the probability distribution of the liquidation time instead of a problem with an exogenous random liquidation time. Using the viscosity solution techniques, developed for the problem of optimization in presence of a random income, we prove the existence and uniqueness of the solution for the considered problem with logarithmic utility and modest restrictions on the liquidation time distribution. We find asymptotic bounds for the value function when liquidation time has exponential or Weibull distribution. We find optimal policies in a feedback form and illustrate how they differ from classical Merton's policies. Through a Lie group analysis we find the admitted Lie algebra for a problem with general liquidation time distribution in cases of HARA and log utility functions and formulate corresponding theorems for all these cases. Using these Lie algebras we obtain reduced equations of the lower dimension for the studied three dimensional partial differential equations. Several of similar substitutions were used in other works before, whereas others are new to our knowledge. The applied method of Lie group analysis gives us the possibility to provide a complete set of non-equivalent substitutions and reduced equations that was not provided for the problem of such type so far. Further research of these equations with numerical and quantitative methods is expected to benefit from such analysis.",,"Yamshchikov, Ivan P.",2016,,,OPUS4-3992,Dissertation
On the applicability of short key asymmetric cryptography in low power wireless sensor networks,,"The growing popularity of Wireless Sensor Networks (WSN) makes the spectrum of their applications very wide. A great number of the application areas like health monitoring or military applications require a high level of security and dependability from the wireless sensor network. Solving these issues can be supported by providing cryptographic solutions into WSN applications. Since the WSNs mainly consist of low power devices, cryptographic solutions ideal for WSNs should provide computationally lightweight security mechanisms producing small data packets and ensuring confidentiality. Cryptographic mechanisms that have both these features are considered in this thesis, which main objective is the analysis of the applicability of the short key elliptic curve cryptography in WSN environments. Reduced key lengths require modification of the standard ECC security algorithms to provide authentication and also a novel solution for a cryptographic secure pseudo-random number generator. The proposed solution is based on the standard ECC, but it differs in several aspects. The main difference is that the parameters of the used elliptic curve have to be kept secret. This is due to the fact that solving the Discreet Logarithm Problem (DLP) for such short parameters can be done in short time. Additionally, using shorter parameters for the underlying elliptic curves excludes also the use of standard hash functions, what mainly influences the mechanisms for generating the digital signature. Hash functions require large input values and produce relatively large output data that is inapplicable in the shortECC environment. Thus, within this thesis a modified version of standard Elliptic Curves Digital Signature Algorithm is proposed, which does not require any hash function. The shortECC needs pseudo-random numbers in the encryption and the digital signature protocols, but since it operates on numbers that are significantly shorter than the ones used by other cryptographic approaches, pseudo-random number generators for standard approaches are not suitable for shortECC. Thus, the new pseudo-random number generator not involving any additional hardware besides the modules available on the used test platform and operating on 32-bit long integers, is proposed. The randomness of the numbers generated by the proposed algorithm and their applicability for cryptographic purposes was evaluated using the NIST test suites. The shortECC approach was also subjected to cryptanalysis in order to proof its security and determine the circumstances and constraints for its application.",,"Sojka-Piotrowska, Anna",2016,,,OPUS4-3945,Dissertation
Controlling entrainment in large-eddy simulation of stratocumulus clouds,,"A front-tracking algorithm for large-eddy simulation (LES) is developed to untangle the numerical and physical contributions to entrainment in stratocumulus-topped boundary layers. The front-tracking algorithm is based on the level set method. Instead of resolving the cloud-top inversion, it is represented as a discontinuous interface separating the boundary layer from the free atmosphere. The location of the interface is represented as an isosurface of an evolving marker function the evolution of which is governed by an additional transport equation. The algorithm has been implemented in an existing LES code based on the anelastic approximation of the Navier-Stokes equations. The original LES algorithm is verified against direct-numerical simulation (DNS) data of an idealized two-dimensional cloud-top mixing layer. For this, the subgrid-scale model of the LES code was replaced by a constant molecular viscosity in order to focus on numerical errors only. A grid convergence study confirmed the anticipated global second-order rate of convergence and the convergence to the DNS solution. The slower convergence of the LES code as compared to the higher-order DNS yielded leading-order errors in the mixing layer growth at the coarsest resolutions, which were finer still than typical LES resolutions. The front-tracking algorithm is verified by LESs of two different convective atmospheric boundary layers: the smoke cloud, a solely radiatively driven boundary layer, and a stratocumulus-topped boundary layer based on data from the DYCOMS II field study. Specifying zero entrainment, it was shown that entrainment in LES can be controlled effectively by the front-tracking algorithm. The algorithm drastically reduces entrainment errors and reduces dependencies of the solution to numerical parameters such as the choice of flux-limiters and grid resolution.",,"Kadasch, Eckhard",2016,,,OPUS4-4039,Dissertation
Seamless integration of smart objects into the internet using XMPP and mDNS/DNS-SD,,"With the integration of smart objects into the Internet users should gain new possibilities to directly interact with their physical environment. This vision is called Internet of Things (IoT) and is enabled by the development of micro Internet Protocol (IP) stacks that allow one to directly connect smart objects to the Internet. IP alone cannot ensure a seamless integration because advanced services (e.g., service discovery, identity management) can only be provided at the application layer. The current development of application protocols for the IoT focuses on the Machine-to-Machine (M2M) communication and introduces specialized protocol gateways, smart object-specific code or data representations that hinder a seamless integration. This thesis deals with the seamless integration, discovery, and employment of smart objects into the current Internet infrastructure under Human-to-Machine (H2M) communication aspects by using and adapting already established protocols that have been standardized by the Internet Engineering Task Force (IETF), such as the Extensible Messaging and Presence Protocol (XMPP), Multicast DNS (mDNS), and DNS Service Discovery (DNS-SD). The proposed approach is called Chatty Things. So smart objects may become a natural part of the network making the IoT readily usable for (non-technical) users and network administrators providing them with the same level of usability that is predominant in the current Internet infrastructure. The applicability of XMPP and mDNS/DNS-SD for smart objects has been evaluated with implementations of minimized, modular, and extensible software stacks for the IoT operating system Contiki. This includes a readily usable Application Programming Interface (API), an essential set of XMPP extension protocols, a proposal for lightweight and user-friendly event notification, a standardized bootstrapping, and a seamless fallback mechanism for ad hoc use cases when infrastructure services are failing for XMPP-driven smart objects. Furthermore, this thesis presents optimizations for the used protocols to reduce the network traffic in low data rate smart object networks (e.g., sensor-specific groups, enhanced message compression mechanisms). To sum up, this thesis shows how XMPP and mDNS/DNS-SD can be used economically on smart objects for the seamless integration with low effort into the current Internet infrastructure to enable a transparent (H2M) interaction and service discovery for the IoT.",,"Klauck, Ronny",2016,,,OPUS4-3850,Dissertation
"Shared heritage: Sacred landscapes of Crimea, their development and protection in the multicultural context",,"Owing to its unique strategic position on the northern coast of the Black Sea, Crimea has, since Antiquity, been a highly diverse, multi-ethnic, multi-religious location. Throughout history, the peninsula's landscapes were shaped and transformed under the influence of its ever-changing populations. In this process, religion played a crucial role. Nowadays, Crimea abounds in sacred sites in the same way as it abounds in culturally and religiously diverse inhabitants. Rebirth in the 1990s of the religious and cultural life that had been repressed for over seventy years of the Soviet rule gave a powerful impetus to the revival of Crimea's sacred landscapes and enabled the different ethno-religious groups residing in the peninsula to re-establish the bond with the home of their ancestors. The notion of landscape as a memoryscape became central in this context, since it is the landscape that records, as well as reflects, the events in history. The sites communally regarded as sacred unite the people as much as common memories transmitted from one generation to the other do. The objectives of the theoretical part of this thesis are twofold. On the one hand, it aims to grasp the connection between religion, landscape and memory, whereby sacred sites are seen as landscapes of memory and anchors of people's cultural and religious identity. On the other hand, it seeks to explore the specific issues pertinent to the Crimean socio-cultural context, such as the peninsula's history and the evolving ethno-religious relationships among the diverse local population, which have impacted the development and protection of Crimea's sacred sites overtime. Method employed is the comparative literature review, whereby for each chapter a selection of authors was made, whose contributions towards the discussion of the aforementioned issues have been particularly relevant. Based on the theoretical background described above, the empirical section of the research targets two main groups of actors: the state on the one side, and the organizations representing local religious groups on the other. In relation to the state, the objective is to explore how the religious revival of the post-Soviet period correlates with Ukraine's current policies towards the safeguarding of Crimea's sacred landscapes, namely, to what extent they are being protected under the existing legislation, and which of the aspects are given most attention in the process. In relation to the organizations representing local religious groups, the task is to investigate to what degree the sacred sites under study remain relevant for various groups, and to establish how the knowledge about the local sacred places and their importance is being disseminated both within these groups and beyond. In order to fulfill these tasks, the set of indicators has been developed, which takes into consideration the specific Crimean socio-cultural context, and a selection of case studies has been made, which in their totality reflect the viewpoints of Crimea's prominent religious groups. The case studies are: (1) the Assumption Monastery, (2) the cave town of Chufut Kale with Balta Tiymez Karaite cemetery, and (3) the old town of Bakhchisaray with Salachiq historic district and Gazy Mansur cemetery. All of the three case studies are located on the territory of Bakhchisaray Historical and Cultural Preserve (BHCP). The evaluation of the Ukrainian state's policies with regards to safeguarding of the selected sacred sites revealed that while many of their elements are recognized as cultural heritage of high significance, protection activities are impeded by substantial obstacles of administrative nature, as well as by the lack general planning. Moreover, conservation and day-to-day management is carried out with little consideration for the opinions of the local people and with the insufficient involvement of the latter. The indicator-based assessment of relevance of the selected sacred locations for various local religious groups and the ways, in which the knowledge about these sites is being spread exposed a number of clear tendencies, as well as highlighted the existing challenges and deficiencies which need to be urgently addressed, so as to ensure the safeguarding of the studied sites for the future generations.",,"Afanasyeva, Dariya",2015,,,OPUS4-3593,Dissertation
Investigation of high Reynolds number pipe flow - CoLaPipe experiments,,"Investigations of high Reynolds number pipe flow is up to now a great challenge due to the complex mechanisms which appear in pipe flow turbulence. Hence, suitable experimental facilities are necessary to resolve turbulent dynamics and therewith to provide the knowledge for the understanding of such a simple shear flow. For this reason the recent thesis deals with conceptual design and setup of a new high Reynolds number pipe test facility further on named CoLaPipe - Cottbus Large Pipe. It also comprises first investigations on pipe flow obtained from the new CoLaPipe, which can be classified into 1.)calibration measurements to put the facility into service and 2.)continuative measurements to provide experimental results helping to understand pipe flow. The first results within the CoLaPipe show that this new experimental facility is suitable to investigate turbulence at high Reynolds numbers, where this conclusion can be drawn from intensive investigations on the development length of the flow either for natural and artificial transition. From further experiments on the evaluation of the wall friction velocity using different estimation methods great difficulties and variations in the calculated values are obtained. These deviations are directly related to the scaling behavior of the mean and fluctuating velocity, which is also shown within this thesis and intensively discussed. Among the discussion of the setup of the new CoLaPipe and the first experimental results this thesis contains a broad literature review with the focus on high and very high Reynolds numbers. Nevertheless, pipe flow at low and moderate Reynolds numbers is described as well.",,"König, Franziska",2015,,,OPUS4-3539,Dissertation
Advanced aero engine common preliminary design environment for the automatic construction of secondary air system and thermal models,,"The state of the art in aero engine design and analysis methods is based on mature computer programs, which have been developed during several decades. The classical approach to the preliminary design phase of engine subsystems is to split the complex engineering process into disciplines and subtasks. Different experts manage the time-consuming modelling work. Due to the increasing demand for higher aero engine performance and design cycle time reduction, process integration, accuracy and agility have become key assets of the engineering work-flow. The intention of this work is to show how multi-disciplinary integration, work-flow automation and CFD-enhanced thermal modelling methods can be used efficiently to support the aero engine preliminary design phase, with focus on the high pressure turbine subsystem. A Java based common design environment for the engine secondary air system, rotors and thermal design disciplines has been developed. This design environment enables the automatic generation of CAD, flow network and thermal models. The improvements in terms of process agility and model prediction accuracy are demonstrated with the application of the implemented process to a reference high pressure turbine subsystem. For validation purposes, the preliminary design definition of the reference turbine case is reproduced. The automatically generated secondary air system and thermal models can replicate the same level of detail as the previous manual approach. It was found that the CFD-enhanced thermal model improves the prediction accuracy in the preliminary design stage, when no engine test data is available.",,"Rey Villazón, Jose María",2015,,,OPUS4-3601,Dissertation
Reciprocal influences of microbial community and hydrogeomorphology in sandy streambeds,,"The main goal of this dissertation was to explore the interactions between the hydrogeomorphology of the streambed in sandy lowland low-order streams and the microbial community inhabiting it. In particular, (i) the influence of the vertical water exchange across the streambed and (ii) of the sediment transport on the function and structure of the streambed microbial community, (iii) and the potential of the microbial community to influence these physical factors were explored. The influences were studied with a model system approach (micro- and mesocosms). Firstly, I examined the significance of vertical water exchange across the streambed for the microbial community. I determined the differences in the microbial community structure and function associated with sediments of differing grain sizes. The grain sizes differed in surface-to-volume ratio and hydraulic conductivity. The results revealed vertical water exchange as the major factor for the structure and function of the microbial community. Secondly, I studied the ability of the microbial community to influence the vertical water exchange across two sandy streambeds: leveled and rippled. My results showed that the microbial community can reduce and even block the vertical water exchange by reducing pore space with gas bubbles formed due to high primary production. Thirdly, I determined the effect of short-term sediment transport events on the function of the microbial community and on the influence of the microbial community on vertical water exchange. The results show that the mechanical stress associated with short-term sediment transport events does not influence the microbial community function. However, a single short-term sediment transport event increased vertical water exchange by (i) releasing the gas bubbles produced by the microbial community and (ii) creating irregularities in the flume bed. Lastly, I ascertained the potential of benthic algal mats to transport sediment by means of buoyancy-mediated detachment from the bed. The results revealed the detachment of algal mats as a novel mechanism of sediment transport during low-flow periods. Overall, the interactions studied show that in sandy streambeds (i) the pattern of vertical water exchange is the primary physical template for the microbial community, and (ii) the activity of the microbial community and sediment transport are stochastic sources of spatiotemporal heterogeneity in vertical water exchange. These results contribute to the understanding and prediction of stream ecosystem functions in sandy streams, which is of special significance in light of the increase in fine sediment load in streams worldwide.",,"Mendoza-Lera, Clara",2015,,,OPUS4-3517,Dissertation
The impact of discharge regulation on microbial sediment respiration at a land-water-interface of the river Spree,,"Flooding of dry sediments is known to trigger pulses of microbial respiration at land-water-interfaces. The regulation of discharge variability is therefore proposed to affect the respiration balance of these sites. In this study, I assessed the impact of discharge regulation on microbial respiration associated to surface sediments at a land-water-interface of the river Spree. I developed a theoretical model, based on empirical respiration data, to estimate the two-month total respiration at the study site for three discharge scenarios. The real scenario represented the actual discharge at the study site, which was regulated by the Spremberg reservoir dam. In the unregulated scenario, the regulating effect by the dam was excluded. In the extremely regulated scenario, a hypothetical constant discharge was modeled. For each scenario, the daily discharge, the corresponding flooded areas, the extent of dry or rewetted areas, and the durations of flooding or rewetting by rain at the study site were determined. Microbial respiration rates associated to surface sediments were measured with a respirometer under flooded, dry, and rewetted conditions. The model applied these rates to the respective flooded, dry or rewetted areas of the study site, to calculate the daily areal respiration. In all sediments from the land-water-interface, a distinctive respiration pulse was measured on the first day of flooding, and higher respiration rates under flooded than under dry conditions. The discharge of the unregulated scenario was characterized by a higher variability and larger flow volume than the regulated real scenario. Due to the higher total discharge, larger areas were flooded in the unregulated scenario, the total respiration from sediments under long-term flooded conditions was therefore higher. Moreover, the daily extent of flooded areas fluctuated more strongly, hence more short-term respiration pulses upon flooding were triggered than in the real regulated scenario. The calculated total two-month respiration of the unregulated scenario exceeded that of the regulated real scenario by almost 14 %. These results suggest that discharge regulation can have a considerable negative impact on sediment-associated microbial respiration at land-water-interfaces.",,"Krüger, Simone",2015,,,OPUS4-4049,Bachelorarbeit
